2013-12-26, 0.11, 0.13, 0.11, 0.11, 11800.0, 0.11, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2013-12-27, 0.11, 0.13, 0.11, 0.13, 3700.0, 0.13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2013-12-30, 0.11, 0.13, 0.11, 0.13, 22700.0, 0.13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2013-12-31, 0.12, 0.13, 0.1, 0.13, 192500.0, 0.13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-01-02, 0.13, 0.13, 0.13, 0.13, 0.0, 0.13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-01-03, 0.12, 0.12, 0.12, 0.12, 2800.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-01-06, 0.13, 0.13, 0.13, 0.13, 800.0, 0.13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-01-07, 0.13, 0.13, 0.13, 0.13, 300.0, 0.13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-01-08, 0.13, 0.13, 0.13, 0.13, 0.0, 0.13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-01-09, 0.13, 0.13, 0.13, 0.13, 0.0, 0.13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-01-10, 0.13, 0.13, 0.11, 0.13, 71200.0, 0.13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-01-13, 0.13, 0.13, 0.12, 0.12, 5300.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-01-14, 0.12, 0.12, 0.12, 0.12, 29900.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-01-15, 0.12, 0.13, 0.12, 0.13, 18400.0, 0.13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-01-16, 0.13, 0.13, 0.12, 0.12, 900.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-01-17, 0.13, 0.13, 0.13, 0.13, 20000.0, 0.13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-01-21, 0.13, 0.13, 0.13, 0.13, 34800.0, 0.13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-01-22, 0.13, 0.13, 0.13, 0.13, 0.0, 0.13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-01-23, 0.13, 0.13, 0.13, 0.13, 21700.0, 0.13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-01-24, 0.13, 0.13, 0.13, 0.13, 0.0, 0.13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-01-27, 0.13, 0.13, 0.13, 0.13, 200.0, 0.13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-01-28, 0.13, 0.13, 0.13, 0.13, 0.0, 0.13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-01-29, 0.13, 0.13, 0.13, 0.13, 20000.0, 0.13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-01-30, 0.12, 0.13, 0.12, 0.13, 500.0, 0.13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-01-31, 0.12, 0.13, 0.12, 0.13, 11300.0, 0.13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-02-03, 0.12, 0.12, 0.12, 0.12, 200.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-02-04, 0.12, 0.13, 0.12, 0.13, 500.0, 0.13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-02-05, 0.13, 0.13, 0.13, 0.13, 10500.0, 0.13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-02-06, 0.12, 0.13, 0.12, 0.13, 600.0, 0.13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-02-07, 0.12, 0.12, 0.12, 0.12, 1200.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-02-10, 0.13, 0.13, 0.13, 0.13, 700.0, 0.13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-02-11, 0.13, 0.13, 0.13, 0.13, 0.0, 0.13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-02-12, 0.12, 0.13, 0.12, 0.13, 66200.0, 0.13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-02-13, 0.12, 0.12, 0.12, 0.12, 16400.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-02-14, 0.12, 0.12, 0.12, 0.12, 11500.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-02-18, 0.12, 0.12, 0.12, 0.12, 1000.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-02-19, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-02-20, 0.12, 0.12, 0.12, 0.12, 24000.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-02-21, 0.12, 0.12, 0.12, 0.12, 300.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-02-24, 0.12, 0.12, 0.12, 0.12, 10400.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-02-25, 0.12, 0.13, 0.12, 0.13, 37300.0, 0.13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-02-26, 0.13, 0.13, 0.12, 0.12, 11200.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-02-27, 0.13, 0.13, 0.13, 0.13, 25900.0, 0.13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-02-28, 0.12, 0.12, 0.12, 0.12, 200.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-03-03, 0.14, 0.17, 0.14, 0.17, 128500.0, 0.17, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-03-04, 0.17, 0.17, 0.13, 0.13, 9200.0, 0.13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-03-05, 0.17, 0.17, 0.13, 0.14, 41800.0, 0.14, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-03-06, 0.17, 0.18, 0.14, 0.16, 26400.0, 0.16, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-03-07, 0.17, 0.17, 0.13, 0.14, 78400.0, 0.14, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-03-10, 0.16, 0.16, 0.16, 0.16, 500.0, 0.16, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-03-11, 0.16, 0.16, 0.16, 0.16, 100.0, 0.16, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-03-12, 0.16, 0.16, 0.16, 0.16, 300.0, 0.16, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-03-13, 0.16, 0.16, 0.12, 0.12, 9200.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-03-14, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-03-17, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-03-18, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-03-19, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-03-20, 0.13, 0.13, 0.13, 0.13, 200.0, 0.13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-03-21, 0.13, 0.13, 0.13, 0.13, 0.0, 0.13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-03-24, 0.13, 0.13, 0.13, 0.13, 400.0, 0.13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-03-25, 0.13, 0.13, 0.13, 0.13, 0.0, 0.13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-03-26, 0.13, 0.13, 0.13, 0.13, 0.0, 0.13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-03-27, 0.13, 0.13, 0.12, 0.12, 144800.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-03-28, 0.12, 0.12, 0.12, 0.12, 6200.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-03-31, 0.11, 0.11, 0.11, 0.11, 1100.0, 0.11, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-04-01, 0.16, 0.16, 0.12, 0.12, 11000.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-04-02, 0.12, 0.12, 0.1, 0.11, 116900.0, 0.11, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-04-03, 0.15, 0.15, 0.11, 0.11, 30000.0, 0.11, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-04-04, 0.11, 0.11, 0.11, 0.11, 900.0, 0.11, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-04-07, 0.11, 0.11, 0.11, 0.11, 23800.0, 0.11, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-04-08, 0.11, 0.11, 0.11, 0.11, 0.0, 0.11, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-04-09, 0.13, 0.13, 0.13, 0.13, 100600.0, 0.13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-04-10, 0.12, 0.12, 0.12, 0.12, 10300.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-04-11, 0.13, 0.13, 0.12, 0.12, 6100.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-04-14, 0.12, 0.12, 0.12, 0.12, 45100.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-04-15, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-04-16, 0.12, 0.13, 0.12, 0.13, 10700.0, 0.13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-04-17, 0.12, 0.12, 0.12, 0.12, 11000.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-04-21, 0.13, 0.13, 0.13, 0.13, 300.0, 0.13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-04-22, 0.13, 0.13, 0.13, 0.13, 0.0, 0.13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-04-23, 0.13, 0.13, 0.13, 0.13, 1000.0, 0.13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-04-24, 0.13, 0.13, 0.13, 0.13, 200.0, 0.13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-04-25, 0.12, 0.12, 0.12, 0.12, 100.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-04-28, 0.13, 0.13, 0.13, 0.13, 10000.0, 0.13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-04-29, 0.13, 0.13, 0.13, 0.13, 0.0, 0.13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-04-30, 0.13, 0.13, 0.13, 0.13, 0.0, 0.13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-05-01, 0.13, 0.13, 0.13, 0.13, 0.0, 0.13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-05-02, 0.13, 0.13, 0.13, 0.13, 0.0, 0.13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-05-05, 0.13, 0.13, 0.13, 0.13, 0.0, 0.13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-05-06, 0.12, 0.12, 0.12, 0.12, 4300.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-05-07, 0.12, 0.12, 0.12, 0.12, 10000.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-05-08, 0.13, 0.13, 0.13, 0.13, 5600.0, 0.13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-05-09, 0.13, 0.13, 0.13, 0.13, 0.0, 0.13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-05-12, 0.13, 0.13, 0.12, 0.12, 8400.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-05-13, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-05-14, 0.12, 0.12, 0.12, 0.12, 5000.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-05-15, 0.13, 0.13, 0.13, 0.13, 10000.0, 0.13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-05-16, 0.13, 0.13, 0.13, 0.13, 100.0, 0.13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-05-19, 0.12, 0.12, 0.12, 0.12, 29500.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-05-20, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-05-21, 0.12, 0.12, 0.12, 0.12, 75000.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-05-22, 0.13, 0.13, 0.13, 0.13, 300.0, 0.13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-05-23, 0.13, 0.13, 0.12, 0.12, 15700.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-05-26, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-05-27, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-05-28, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-05-29, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-05-30, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-06-02, 0.12, 0.12, 0.12, 0.12, 25100.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-06-03, 0.12, 0.12, 0.12, 0.12, 1000.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-06-04, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-06-05, 0.12, 0.12, 0.12, 0.12, 100.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-06-06, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-06-09, 0.12, 0.12, 0.12, 0.12, 2500.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-06-10, 0.12, 0.12, 0.12, 0.12, 28200.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-06-11, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-06-12, 0.12, 0.12, 0.12, 0.12, 1700.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-06-13, 0.12, 0.12, 0.12, 0.12, 5100.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-06-16, 0.12, 0.12, 0.12, 0.12, 4500.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-06-17, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-06-18, 0.12, 0.12, 0.12, 0.12, 100.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-06-19, 0.12, 0.12, 0.12, 0.12, 200.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-06-20, 0.12, 0.12, 0.12, 0.12, 3800.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-06-23, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-06-24, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-06-25, 0.12, 0.13, 0.12, 0.13, 26600.0, 0.13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-06-26, 0.13, 0.13, 0.13, 0.13, 600.0, 0.13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-06-27, 0.13, 0.13, 0.13, 0.13, 9500.0, 0.13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-06-30, 0.13, 0.15, 0.13, 0.13, 15100.0, 0.13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-07-01, 0.13, 0.13, 0.13, 0.13, 3700.0, 0.13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-07-02, 0.12, 0.12, 0.12, 0.12, 200.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-07-03, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-07-07, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-07-08, 0.13, 0.13, 0.13, 0.13, 1000.0, 0.13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-07-09, 0.13, 0.13, 0.13, 0.13, 0.0, 0.13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-07-10, 0.13, 0.13, 0.13, 0.13, 0.0, 0.13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-07-11, 0.12, 0.12, 0.12, 0.12, 22500.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-07-14, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-07-15, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-07-16, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-07-17, 0.12, 0.12, 0.12, 0.12, 200.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-07-18, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-07-21, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-07-22, 0.14, 0.14, 0.12, 0.12, 6400.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-07-23, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-07-24, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-07-25, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-07-28, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-07-29, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-07-30, 0.12, 0.12, 0.12, 0.12, 700.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-07-31, 0.12, 0.12, 0.12, 0.12, 2000.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-08-01, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-08-04, 0.12, 0.12, 0.12, 0.12, 14600.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-08-05, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-08-06, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-08-07, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-08-08, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-08-11, 0.12, 0.12, 0.12, 0.12, 5700.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-08-12, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-08-13, 0.12, 0.12, 0.12, 0.12, 300.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-08-14, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-08-15, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-08-18, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-08-19, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-08-20, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-08-21, 0.12, 0.12, 0.12, 0.12, 200.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-08-22, 0.12, 0.12, 0.12, 0.12, 1000.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-08-25, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-08-26, 0.12, 0.12, 0.12, 0.12, 34000.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-08-27, 0.13, 0.13, 0.13, 0.13, 3500.0, 0.13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-08-28, 0.13, 0.13, 0.12, 0.12, 6000.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-08-29, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-09-02, 0.13, 0.13, 0.13, 0.13, 4100.0, 0.13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-09-03, 0.13, 0.13, 0.13, 0.13, 1300.0, 0.13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-09-04, 0.13, 0.13, 0.13, 0.13, 300.0, 0.13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-09-05, 0.13, 0.13, 0.13, 0.13, 0.0, 0.13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-09-08, 0.12, 0.12, 0.12, 0.12, 25800.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-09-09, 0.12, 0.12, 0.12, 0.12, 2400.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-09-10, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-09-11, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-09-12, 0.12, 0.12, 0.12, 0.12, 4100.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-09-15, 0.12, 0.12, 0.12, 0.12, 6000.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-09-16, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-09-17, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-09-18, 0.12, 0.12, 0.12, 0.12, 200.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-09-19, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-09-22, 0.13, 0.13, 0.12, 0.12, 3000.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-09-23, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-09-24, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-09-25, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-09-26, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-09-29, 0.12, 0.12, 0.12, 0.12, 2500.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-09-30, 0.12, 0.12, 0.12, 0.12, 33900.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-10-01, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-10-02, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-10-03, 0.12, 0.12, 0.12, 0.12, 2400.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-10-06, 0.12, 0.12, 0.12, 0.12, 1000.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-10-07, 0.12, 0.12, 0.12, 0.12, 100.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-10-08, 0.12, 0.12, 0.12, 0.12, 2000.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-10-09, 0.12, 0.12, 0.12, 0.12, 7200.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-10-10, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-10-13, 0.12, 0.12, 0.12, 0.12, 2200.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-10-14, 0.12, 0.12, 0.12, 0.12, 6000.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-10-15, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-10-16, 0.12, 0.12, 0.12, 0.12, 5000.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-10-17, 0.12, 0.12, 0.12, 0.12, 700.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2014-10-20, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
